Title_Item,Price,Original Price,description,time_of_published,status
Danielle Nicole Bag,35.0,777.0,Danielle Nicole  Bag  trimmed in leather  snap closure small bag has three spots for credit cards  really cute can be worn as a crossbody bag are handle,2021-10-07T21:21:55-07:00,available
Diamond tennis Bracelet,4890.0,8000.0,Diamond tennis Bracelet authentic beautiful it ways 12.5 grams  and the Kt wait is 3kt   In 14 Kt white Gold  the Diamonds are  good quality grade it’s so sparkly anyone would love to sport this really a eye c catcher  it’s missing the little chain we’re the clasp is but that doesn’t affect the hook it’s very good  thanks for looking it was really hard to get the picture of the Kt  but it’s there.⭐️⭐️⭐️⭐️⭐️,2023-02-12T14:27:33-08:00,available
Vintage Lion 14k Gold Ring 11.7 grams of gold,1900.0,777.0,"Beautiful 14k gold, vintage lion ring. Lots of detail. Has ruby eyes and a Diamond in the mouth. 
Heavy gold, 11.7 grams of gold price is firm 😊 Thank you.",2022-05-05T08:41:03-07:00,available
Burberry sunglasses,225.0,777.0,Burberry sunglasses only used a fue times no scratches comes with box and case  excellent used condition very nice,2021-04-25T14:57:05-07:00,available
Fendi sunglasses,145.0,777.0,Fendi Sunglasses used but no scratches in good condition comes with case and cloth  nice looking,2021-04-25T14:44:19-07:00,available
VERSACE SUN GLASSES 🤓,325.0,777.0,VERSACE SUN GLASSES BEAUTIFUL 😍 PERFECT CONDITIONS  BROWN LITE  BROWN WITH GOLD TRIM   🔥💥,2022-06-01T15:34:26-07:00,available
Versace sunglasses,325.0,777.0,Versace sunglasses new comes with case and card beautiful never worn  really nice looking,2021-04-25T14:32:52-07:00,available
INVICTA MICKEY MOUSE WATCH,250.0,777.0,INVICTA Mickey Mouse watch new has batterie and  crystal stones around the face really cute. Great time peace  a watch that you can wear all the time stainless steal,2023-03-11T11:06:30-08:00,available
Versus Versace watch,450.0,777.0,Versace Swarovski crystal watch new never used Beautiful comes with Box and papers  it’s really a eye catcher never used so will need a Battery gorgeous,2022-02-13T10:44:40-08:00,available
VERSACE WATCH,299.0,777.0,VERSACE STAINLESS STEEL VINTAGE WATCH EXCELLENT CONDITION NO   SCRATCH MARKS   ITS COMES FROM THE  70 ARE 80  ERA GOOD RUNNING CONDITION  BEAUTIFUL ❤️,2021-10-12T21:13:51-07:00,available
Beautiful Diamond Wedding Set,6300.0,7300.0,Diamond Wedding Set White Gold  please look at appraisal thank you so much this is a very very gorgeous ring the diamonds in this  ring are excellent Quality thanks for looking,2022-04-27T17:32:37-07:00,available
Diamond cocktail Ring,5495.0,777.0,"Beautiful Diamond cocktail Ring  5 Kt  Diamonds Heavy Gold marquis  cut emerald catch round, cuts one-of-a-kind will post more information soon 33 grams of gold super rare .",2023-04-30T11:58:31-07:00,available
David yuman Diamond Bracelet,850.0,777.0,David yuman silver Crossover Bracelet 25 Diamonds ♦️ Beautiful 😻  I have another one that I have listed I used to wear them together   This one stands out so pretty excellent condition like new .♦️28 grams of silver  and 18 Kt gold ❤️ Beautiful gift for  any time of the year❤️,2022-01-21T23:49:31-08:00,available
Gucci Watch price i negotiable😊,400.0,777.0,Gucci Watch older style works great  has some minor scratches on the Back due to age keeps really good time  don’t have the Box but will send nicely packed  thanks for looking 😊,2022-03-07T22:27:29-08:00,available
Gucci watch,425.0,777.0,Gucci watch good used condition has Battery works great  with fit a 7 inc wrist good fold over clasp really pretty  has a fue scuffs on it but works great .,2023-02-12T12:38:43-08:00,available
T&C  Bangle Bracelet,525.0,777.0,T&C BANGLE BRACLET  14 KT GOLD AND 925 Sterling SILVER BEAUTIFUL DETAIL  ALMOST A FULL KT OF DIAMONDS  CHUNKY BRACELET  47 GRAMS OF SILVER NEW CONDITION A MAN OR A WOMAN COULD WEAR THIS  GREAT FOR That SPECIAL SOMEONE ❤️💕,2022-01-26T00:12:23-08:00,available
Tiffany and Company watch,465.0,777.0,Tiffany and Company watch great condition works fine. Will come with a new battery. No scratches authentic. Thanks for looking.,2023-04-23T23:04:38-07:00,available
Ladies 18K Yellow Gold & Stainless Steel Rolex with .70ct Diamond Bezel ( SALE,8550.0,10200.0,Refer to the appraisal for watch details ON SALE😊,2022-07-12T18:55:20-07:00,available
Capricorn shorts daytrip,35.0,777.0,"Capricorn shorts nice used condition 
They have stretch and are really cute",2021-07-12T12:54:33-07:00,available
BcRock for Express,65.0,777.0,Express Jeans never worn they have some stretch they are really nice like new,2021-08-29T15:26:32-07:00,available
Amethyst shorts,25.0,777.0,Amethyst shorts  above the knee good used condition on rips the stones are there none missing cute and they stretch,2021-04-11T12:14:35-07:00,available
Sneak peek shorts,49.0,777.0,Sneak peek shorts new high waist they are really nice and soft,2021-04-28T14:44:37-07:00,available
Y2K juicy couture jacket,75.0,777.0,"Reposhing this item I purchased from @papermountains. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!",2021-12-15T18:27:25-08:00,available
